Test_ID,Predicted_Reference_Parameter,Valid/Invalid
TST-0278,29.831032,Invalid
TST-0006,19.165302,Valid
TST-0047,63.56704,Valid
TST-0311,26.024265,Valid
TST-0264,24.549849,Invalid
TST-0169,20.007713,Valid
TST-0269,18.284098,Valid
TST-0178,14.561219,Invalid
TST-0206,31.7246,Valid
TST-0038,18.267109,Valid
TST-0213,19.958025,Invalid
TST-0309,16.486471,Valid
TST-0059,32.784626,Valid
TST-0159,18.373947,Valid
TST-0235,19.833868,Valid
TST-0230,21.268534,Valid
TST-0323,37.272045,Valid
TST-0262,18.420927,Valid
TST-0274,13.413704,Valid
TST-0214,49.032547,Valid
TST-0024,40.90372,Valid
TST-0234,17.102188,Valid
TST-0333,22.059301,Valid
TST-0060,20.687946,Valid
TST-0226,36.174435,Valid
TST-0197,15.971907,Valid
TST-0346,42.35641,Valid
TST-0192,25.360077,Valid
TST-0141,29.160597,Valid
TST-0222,38.076576,Invalid
TST-0232,19.812004,Valid
TST-0085,24.173786,Valid
TST-0237,32.14815,Valid
TST-0001,38.122353,Valid
TST-0069,16.456175,Valid
TST-0272,23.15847,Valid
TST-0343,33.24924,Valid
TST-0320,26.480404,Valid
TST-0008,33.47063,Invalid
TST-0144,22.697111,Valid
TST-0184,22.498558,Valid
TST-0107,61.287163,Invalid
TST-0026,41.746258,Valid
TST-0164,43.024227,Valid
TST-0217,33.109367,Valid
TST-0332,26.169476,Invalid
TST-0279,24.689535,Valid
TST-0243,18.584959,Valid
TST-0163,20.387436,Valid
TST-0131,29.469936,Valid
TST-0070,16.439297,Valid
TST-0137,18.511723,Valid
TST-0210,28.968756,Valid
TST-0288,20.674524,Valid
TST-0248,18.113861,Valid
TST-0277,22.961218,Invalid
TST-0215,21.425331,Valid
TST-0138,16.913532,Valid
TST-0228,17.284689,Valid
TST-0252,48.82858,Valid
TST-0205,30.386795,Valid
TST-0348,22.676964,Valid
TST-0177,23.173737,Valid
TST-0267,36.999454,Valid
TST-0308,23.40185,Valid
TST-0087,46.549824,Invalid
TST-0117,16.645878,Valid
TST-0014,18.042723,Valid
TST-0154,25.338398,Valid
TST-0207,47.535805,Valid
TST-0187,21.873697,Valid
TST-0236,21.214296,Valid
TST-0283,35.458996,Valid
TST-0089,17.967232,Valid
TST-0202,23.366018,Valid
TST-0160,18.818924,Valid
TST-0036,25.783289,Valid
TST-0275,48.022278,Valid
TST-0023,33.896454,Valid
TST-0091,43.16069,Valid
TST-0151,44.53948,Valid
TST-0310,22.675627,Valid
TST-0239,15.039944,Valid
TST-0331,32.27684,Valid
TST-0316,13.39305,Invalid
TST-0338,14.33091,Valid
TST-0019,19.980307,Valid
TST-0168,13.436279,Invalid
TST-0007,18.098904,Valid
TST-0211,31.650639,Valid
TST-0016,36.06674,Valid
TST-0027,18.907951,Valid
TST-0031,15.956259,Invalid
TST-0249,28.297993,Valid
TST-0011,16.226255,Valid
TST-0080,22.873648,Invalid
TST-0121,16.384169,Valid
TST-0266,19.594572,Valid
TST-0198,22.049591,Valid
TST-0067,31.993784,Valid
TST-0102,21.56992,Valid
TST-0005,36.35398,Valid
TST-0003,29.578928,Valid
TST-0132,43.84065,Valid
TST-0029,26.824205,Valid
TST-0221,31.72067,Valid
TST-0099,17.532087,Valid
TST-0062,17.611296,Valid
TST-0095,26.44378,Valid
TST-0126,17.299978,Valid
TST-0034,49.777824,Valid
TST-0103,16.011393,Valid
TST-0245,23.261923,Valid
TST-0058,50.25615,Valid
TST-0065,26.385,Valid
TST-0086,19.810413,Valid
TST-0342,20.664291,Valid
TST-0335,17.720959,Valid
TST-0180,18.224972,Invalid
TST-0294,24.14776,Invalid
TST-0072,21.167637,Valid
TST-0315,47.623844,Invalid
TST-0182,45.946705,Valid
TST-0200,21.452276,Valid
TST-0030,16.744146,Valid
TST-0193,16.69559,Valid
TST-0231,20.938667,Valid
TST-0128,25.614738,Valid
TST-0165,28.015236,Invalid
TST-0074,14.211506,Valid
TST-0004,33.69002,Valid
TST-0157,23.552475,Valid
TST-0143,27.28307,Valid
TST-0179,41.71646,Valid
TST-0075,27.344263,Valid
TST-0233,25.21823,Valid
TST-0111,26.493715,Valid
TST-0350,21.33067,Valid
TST-0122,17.124386,Valid
TST-0076,22.10257,Valid
TST-0304,26.285866,Valid
TST-0190,29.35564,Valid
TST-0061,16.644913,Valid
TST-0009,26.88964,Valid
TST-0194,45.000378,Valid
TST-0156,19.443665,Invalid
TST-0088,31.892473,Valid
TST-0256,48.030827,Valid
TST-0329,16.681927,Valid
TST-0219,42.423058,Valid
TST-0306,14.113446,Valid
TST-0324,22.772367,Valid
TST-0113,21.604813,Valid
TST-0135,15.6943035,Valid
TST-0339,17.190142,Valid
TST-0260,23.162493,Valid
TST-0195,24.476574,Valid
TST-0286,28.211466,Valid
TST-0015,25.157078,Valid
TST-0263,18.90599,Valid
TST-0147,24.445229,Valid
TST-0002,24.065228,Invalid
TST-0114,45.410473,Valid
TST-0271,25.203348,Invalid
TST-0223,22.573645,Valid
TST-0344,15.976064,Valid
TST-0183,31.147268,Valid
TST-0327,33.898617,Valid
TST-0250,19.688065,Invalid
TST-0185,38.641247,Valid
TST-0242,21.354599,Valid
TST-0158,12.895479,Valid
TST-0078,44.45498,Valid
TST-0120,22.316343,Invalid
TST-0093,29.755089,Valid
TST-0051,15.698897,Valid
TST-0010,15.679304,Valid
TST-0013,51.574677,Valid
TST-0049,14.815732,Valid
TST-0041,17.523457,Valid
TST-0055,31.71609,Valid
TST-0012,20.457033,Valid
TST-0127,48.806667,Valid
TST-0225,26.626167,Valid
TST-0050,23.56865,Valid
TST-0172,34.272575,Invalid
TST-0079,31.907646,Valid
TST-0046,21.628355,Valid
TST-0325,18.090223,Valid
TST-0280,20.731928,Valid
TST-0140,15.208476,Valid
TST-0244,47.623844,Invalid
TST-0203,20.830193,Valid
TST-0238,18.449183,Valid
TST-0092,28.874365,Valid
TST-0307,14.452558,Valid
TST-0176,28.61919,Valid
TST-0115,17.003864,Valid
TST-0028,14.5521,Invalid
TST-0317,19.425154,Valid
TST-0251,38.201077,Valid
TST-0301,14.626774,Valid
TST-0116,37.053226,Valid
TST-0056,23.425632,Valid
TST-0166,27.26773,Valid
TST-0247,32.924088,Valid
TST-0291,27.534946,Valid
TST-0167,29.166275,Invalid
TST-0313,48.043858,Invalid
TST-0105,14.019348,Valid
TST-0104,20.65665,Valid
TST-0045,36.252655,Valid
TST-0289,43.172283,Valid
TST-0048,26.815285,Valid
TST-0110,18.923672,Valid
TST-0037,39.285877,Valid
TST-0305,18.870872,Valid
TST-0240,31.93711,Valid
TST-0155,33.90745,Valid
TST-0119,53.046665,Valid
TST-0295,23.833866,Valid
TST-0229,19.100431,Valid
TST-0106,21.811138,Valid
TST-0052,15.859245,Valid
TST-0276,21.444048,Valid
TST-0216,21.658226,Valid
TST-0208,20.334648,Valid
TST-0188,21.643967,Valid
TST-0145,49.964764,Valid
